Last login: Sat Mar 22 05:39:27 on console
Brandons-MacBook-Pro-3:~ brandon$ cd Documents/CS149_Assignment4/HW4_src/
Brandons-MacBook-Pro-3:HW4_src brandon$ ls
Page.class	Swap.class	hw4.zip		swapOutput.txt
Page.java	Swap.java	pageOutput.txt
Brandons-MacBook-Pro-3:HW4_src brandon$ javac Page.java
Brandons-MacBook-Pro-3:HW4_src brandon$ java Page
-1 indicates empty page frame

FIFO Simulation
------------------------------------------------------------------------------------------------------------------------
---------- Run 1 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
56		2		0		6		1		Hit		6		6
57		2		0		6		7		Fault		7		1
58		1		0		6		7		Fault		1		2
59		1		2		6		7		Fault		2		0
60		1		2		3		7		Fault		3		6
61		1		2		3		7		Hit		2		2
62		1		2		3		7		Hit		3		3
63		1		2		3		7		Hit		1		1
64		1		2		3		0		Fault		0		7
65		1		2		3		0		Hit		0		0
66		1		2		3		0		Hit		1		1
67		4		2		3		0		Fault		4		1
68		4		7		3		0		Fault		7		2
69		4		7		5		0		Fault		5		3
70		4		7		5		0		Hit		4		4
71		4		7		5		3		Fault		3		0
72		0		7		5		3		Fault		0		4
73		0		7		5		3		Hit		3		3
74		0		2		5		3		Fault		2		7
75		0		2		5		3		Hit		2		2
76		0		2		7		3		Fault		7		5
77		0		2		7		1		Fault		1		3
78		0		2		7		1		Hit		0		0
79		0		2		7		1		Hit		1		1
80		0		2		7		1		Hit		0		0
81		0		2		7		1		Hit		0		0
82		0		2		7		1		Hit		2		2
83		8		2		7		1		Fault		8		0
84		8		3		7		1		Fault		3		2
85		8		3		7		1		Hit		7		7
86		8		3		7		1		Hit		3		3
87		8		3		7		1		Hit		3		3
88		8		3		7		1		Hit		3		3
89		8		3		7		1		Hit		3		3
90		8		3		2		1		Fault		2		7
91		8		3		2		1		Hit		3		3
92		8		3		2		1		Hit		3		3
93		8		3		2		1		Hit		3		3
94		8		3		2		1		Hit		3		3
95		8		3		2		1		Hit		8		8
96		8		3		2		1		Hit		2		2
97		8		3		2		1		Hit		3		3
98		8		3		2		1		Hit		3		3
99		8		3		2		1		Hit		3		3

---------- Run 3 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
0		8		-1		-1		-1		Fault		8		-1
1		8		3		-1		-1		Fault		3		-1
2		8		3		2		-1		Fault		2		-1
3		8		3		2		-1		Hit		2		2
4		8		3		2		-1		Hit		3		3
5		8		3		2		4		Fault		4		-1
6		8		3		2		4		Hit		2		2
7		8		3		2		4		Hit		2		2
8		8		3		2		4		Hit		3		3
9		8		3		2		4		Hit		2		2
10		8		3		2		4		Hit		3		3
11		8		3		2		4		Hit		4		4
12		5		3		2		4		Fault		5		8
13		5		6		2		4		Fault		6		3
14		5		6		7		4		Fault		7		2
15		5		6		7		4		Hit		6		6
16		5		6		7		3		Fault		3		4
17		5		6		7		3		Hit		3		3
18		2		6		7		3		Fault		2		5
19		2		8		7		3		Fault		8		6
20		2		8		6		3		Fault		6		7
21		2		8		6		5		Fault		5		3
22		2		8		6		5		Hit		6		6
23		2		8		6		5		Hit		2		2
24		3		8		6		5		Fault		3		2
25		3		4		6		5		Fault		4		8
26		3		4		2		5		Fault		2		6
27		3		4		2		5		Hit		3		3
28		3		4		2		5		Hit		2		2
29		3		4		2		0		Fault		0		5
30		1		4		2		0		Fault		1		3
31		1		4		2		0		Hit		1		1
32		1		4		2		0		Hit		0		0
33		1		4		2		0		Hit		1		1
34		1		4		2		0		Hit		1		1
35		1		4		2		0		Hit		0		0
36		1		4		2		0		Hit		1		1
37		1		4		2		0		Hit		0		0
38		1		4		2		0		Hit		1		1
39		1		4		2		0		Hit		1		1
40		1		4		2		0		Hit		0		0
41		1		4		2		0		Hit		4		4
42		1		4		2		0		Hit		4		4
43		1		4		2		0		Hit		4		4
44		1		5		2		0		Fault		5		4
45		1		5		2		0		Hit		5		5
46		1		5		2		0		Hit		5		5
47		1		5		4		0		Fault		4		2
48		1		5		4		0		Hit		5		5
49		1		5		4		6		Fault		6		0
50		0		5		4		6		Fault		0		1
51		0		1		4		6		Fault		1		5
52		0		1		4		6		Hit		0		0
53		0		1		2		6		Fault		2		4
54		0		1		2		6		Hit		6		6
55		0		1		2		6		Hit		6		6
56		0		1		2		6		Hit		6		6
57		0		1		2		6		Hit		6		6
58		0		1		2		6		Hit		6		6
59		0		1		2		6		Hit		6		6
60		0		1		2		6		Hit		0		0
61		0		1		2		6		Hit		1		1
62		0		1		2		6		Hit		2		2
63		0		1		2		3		Fault		3		6
64		0		1		2		3		Hit		3		3
65		0		1		2		3		Hit		2		2
66		0		1		2		3		Hit		1		1
67		0		1		2		3		Hit		1		1
68		0		1		2		3		Hit		2		2
69		0		1		2		3		Hit		3		3
70		0		1		2		3		Hit		2		2
71		0		1		2		3		Hit		3		3
72		0		1		2		3		Hit		3		3
73		0		1		2		3		Hit		2		2
74		4		1		2		3		Fault		4		0
75		4		6		2		3		Fault		6		1
76		4		6		0		3		Fault		0		2
77		4		6		0		1		Fault		1		3
78		2		6		0		1		Fault		2		4
79		2		6		0		1		Hit		2		2
80		2		3		0		1		Fault		3		6
81		2		3		0		1		Hit		3		3
82		2		3		0		1		Hit		3		3
83		2		3		0		1		Hit		3		3
84		2		3		4		1		Fault		4		0
85		2		3		4		5		Fault		5		1
86		6		3		4		5		Fault		6		2
87		6		3		4		5		Hit		5		5
88		6		3		4		5		Hit		5		5
89		6		3		4		5		Hit		6		6
90		6		7		4		5		Fault		7		3
91		6		7		2		5		Fault		2		4
92		6		7		2		3		Fault		3		5
93		6		7		2		3		Hit		2		2
94		6		7		2		3		Hit		2		2
95		1		7		2		3		Fault		1		6
96		1		7		2		3		Hit		1		1
97		1		0		2		3		Fault		0		7
98		1		0		2		3		Hit		1		1
99		1		0		2		3		Hit		2		2

---------- Run 4 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
0		7		-1		-1		-1		Fault		7		-1
1		7		6		-1		-1		Fault		6		-1
2		7		6		-1		-1		Hit		7		7
3		7		6		2		-1		Fault		2		-1
4		7		6		2		3		Fault		3		-1
5		1		6		2		3		Fault		1		7
6		1		7		2		3		Fault		7		6
7		1		7		2		3		Hit		1		1
8		1		7		0		3		Fault		0		2
9		1		7		0		3		Hit		1		1
10		1		7		0		3		Hit		0		0
11		1		7		0		3		Hit		0		0
12		1		7		0		3		Hit		1		1
13		1		7		0		2		Fault		2		3
14		1		7		0		2		Hit		0		0
15		1		7		0		2		Hit		0		0
16		1		7		0		2		Hit		1		1
17		1		7		0		2		Hit		0		0
18		4		7		0		2		Fault		4		1
19		4		7		0		2		Hit		4		4
20		4		5		0		2		Fault		5		7
21		4		5		6		2		Fault		6		0
22		4		5		6		7		Fault		7		2
23		0		5		6		7		Fault		0		4
24		0		5		6		7		Hit		0		0
25		0		5		6		7		Hit		0		0
26		0		1		6		7		Fault		1		5
27		0		1		6		7		Hit		0		0
28		0		1		6		7		Hit		0		0
29		0		1		6		7		Hit		0		0
30		0		1		5		7		Fault		5		6
31		0		1		5		7		Hit		5		5
32		0		1		5		7		Hit		5		5
33		0		1		5		7		Hit		5		5
34		0		1		5		4		Fault		4		7
35		0		1		5		4		Hit		4		4
36		3		1		5		4		Fault		3		0
37		3		2		5		4		Fault		2		1
38		3		2		5		4		Hit		2		2
39		3		2		5		4		Hit		3		3
40		3		2		7		4		Fault		7		5
41		3		2		7		4		Hit		2		2
42		3		2		7		4		Hit		3		3
43		3		2		7		4		Hit		2		2
44		3		2		7		8		Fault		8		4
45		3		2		7		8		Hit		8		8
46		3		2		7		8		Hit		8		8
47		3		2		7		8		Hit		2		2
48		3		2		7		8		Hit		2		2
49		3		2		7		8		Hit		2		2
50		1		2		7		8		Fault		1		3
51		1		2		7		8		Hit		2		2
52		1		2		7		8		Hit		1		1
53		1		2		7		8		Hit		2		2
54		1		2		7		8		Hit		2		2
55		1		3		7		8		Fault		3		2
56		1		3		7		8		Hit		3		3
57		1		3		4		8		Fault		4		7
58		1		3		4		8		Hit		3		3
59		1		3		4		2		Fault		2		8
60		1		3		4		2		Hit		1		1
61		1		3		4		2		Hit		1		1
62		1		3		4		2		Hit		1		1
63		6		3		4		2		Fault		6		1
64		6		7		4		2		Fault		7		3
65		6		7		1		2		Fault		1		4
66		6		7		1		0		Fault		0		2
67		6		7		1		0		Hit		0		0
68		6		7		1		0		Hit		0		0
69		6		7		1		0		Hit		1		1
70		6		7		1		0		Hit		0		0
71		3		7		1		0		Fault		3		6
72		3		2		1		0		Fault		2		7
73		3		2		1		0		Hit		2		2
74		3		2		1		0		Hit		2		2
75		3		2		1		0		Hit		2		2
76		3		2		1		0		Hit		1		1
77		3		2		7		0		Fault		7		1
78		3		2		7		0		Hit		3		3
79		3		2		7		0		Hit		2		2
80		3		2		7		0		Hit		3		3
81		3		2		7		4		Fault		4		0
82		3		2		7		4		Hit		2		2
83		8		2		7		4		Fault		8		3
84		8		2		7		4		Hit		2		2
85		8		2		7		4		Hit		2		2
86		8		1		7		4		Fault		1		2
87		8		1		7		4		Hit		1		1
88		8		1		0		4		Fault		0		7
89		8		1		0		4		Hit		1		1
90		8		1		0		4		Hit		8		8
91		8		1		0		4		Hit		1		1
92		8		1		0		2		Fault		2		4
93		8		1		0		2		Hit		2		2
94		7		1		0		2		Fault		7		8
95		7		1		0		2		Hit		7		7
96		7		6		0		2		Fault		6		1
97		7		6		0		2		Hit		2		2
98		7		6		3		2		Fault		3		0
99		7		6		3		4		Fault		4		2

---------- Run 5 ----------
Time		Frame_1		Frame_2		Frame_3		Frame_4		Hit?		Page_In		Evicted
0		8		-1		-1		-1		Fault		8		-1
1		8		7		-1		-1		Fault		7		-1
2		8		7		2		-1		Fault		2		-1
3		8		7		2		-1		Hit		7		7
4		8		7		2		-1		Hit		2		2
5		8		7		2		-1		Hit		8		8
6		8		7		2		3		Fault		3		-1
7		8		7		2		3		Hit		2		2
8		8		7		2		3		Hit		2		2
9		4		7		2		3		Fault		4		8
10		4		7		2		3		Hit		4		4
11		4		5		2		3		Fault		5		7
12		4		5		2		3		Hit		4		4
13		4		5		2		3		Hit		5		5
14		4		5		2		3		Hit		2		2
15		4		5		2		3		Hit		3		3
16		4		5		2		3		Hit		5		5
17		4		5		2		3		Hit		5		5
18		4		5		2		3		Hit		4		4
19		4		5		2		3		Hit		4		4
20		4		5		2		3		Hit		4		4
21		4		5		2		3		Hit		4		4
22		4		5		2		3		Hit		5		5
23		4		5		2		3		Hit		3		3
24		4		5		8		3		Fault		8		2
25		4		5		8		6		Fault		6		3
26		4		5		8		6		Hit		5		5
27		4		5		8		6		Hit		5		5
28		4		5		8		6		Hit		5		5
29		4		5		8		6		Hit		4		4
30		4		5		8		6		Hit		4		4
31		4		5		8		6		Hit		5		5
32		4		5		8		6		Hit		4		4
33		3		5		8		6		Fault		3		4
34		3		4		8		6		Fault		4		5
35		3		4		5		6		Fault		5		8
36		3		4		5		6		Hit		5		5
37		3		4		5		6		Hit		6		6
38		3		4		5		6		Hit		6		6
39		3		4		5		8		Fault		8		6
40		3		4		5		8		Hit		4		4
41		3		4		5		8		Hit		3		3
42		3		4		5		8		Hit		4		4
43		3		4		5		8		Hit		3		3
44		6		4		5		8		Fault		6		3
45		6		4		5		8		Hit		5		5
46		6		4		5		8		Hit		6		6
47		6		7		5		8		Fault		7		4
48		6		7		3		8		Fault		3		5
49		6		7		3		2		Fault		2		8
50		6		7		3		2		Hit		2		2
51		5		7		3		2		Fault		5		6
52		5		4		3		2		Fault		4		7
53		5		4		6		2		Fault		6		3
54		5		4		6		2		Hit		6		6
55		5		4		6		2		Hit		5		5
56		5		4		6		3		Fault		3		2
57		2		4		6		3		Fault		2		5
58		2		7		6		3		Fault		7		4
59		2		7		1		3		Fault		1		6
60		2		7		1		5		Fault		5		3
61		6		7		1		5		Fault		6		2
62		6		7		1		5		Hit		6		6
63		6		7		1		5		Hit		5		5
64		6		7		1		5		Hit		5		5
65		6		7		1		5		Hit		6		6
66		6		7		1		5		Hit		5		5
67		6		7		1		5		Hit		6		6
68		6		7		1		5		Hit		5		5
69		6		7		1		5		Hit		5		5
70		6		7		1		5		Hit		5		5
71		6		4		1		5		Fault		4		7
72		6		4		3		5		Fault		3		1
73		6		4		3		2		Fault		2		5
74		6		4		3		2		Hit		2		2
75		6		4		3		2		Hit		2		2
76		6		4		3		2		Hit		3		3
77		6		4		3		2		Hit		2		2
78		6		4		3		2		Hit		2		2
79		0		4		3		2		Fault		0		6
80		0		4		3		2		Hit		0		0
81		0		7		3		2		Fault		7		4
82		0		7		5		2		Fault		5		3
83		0		7		5		4		Fault		4		2
84		0		7		5		4		Hit		4		4
85		0		7		5		4		Hit		5		5
86		6		7		5		4		Fault		6		0
87		6		7		5		4		Hit		5		5
88		6		0		5		4		Fault		0		7
89		6		0		1		4		Fault		1		5
90		6		0		1		4		Hit		0		0
91		6		0		1		8		Fault		8		4
92		6		0		1		8		Hit		8		8
93		6		0		1		8		Hit		6		6
94		6		0		1		8		Hit		8		8
95		5		0		1		8		Fault		5		6
96		5		4		1		8		Fault		4		0
97		5		4		3		8		Fault		3		1
98		5		4		3		8		Hit		4		4
99		5		4		3		8		Hit		5		5

===================================================================================================================

